System Properties
Collision Frequency :0.228000
Pressure: 0.005460
Temparature: 0.000362
rms Velocity: 0.010000
Mean Free Path: 0.430663

particle states
0.339790 0.535735 0.002974 0.001761
0.342764 0.537496 0.002974 0.001761
0.345738 0.539257 0.002974 0.001761
0.348712 0.541019 0.002974 0.001761
0.351685 0.542780 0.002974 0.001761
0.354659 0.544541 0.002974 0.001761
0.357633 0.546302 0.002974 0.001761
0.360607 0.548063 0.002974 0.001761
0.363580 0.549824 0.002974 0.001761
0.366554 0.551585 0.002974 0.001761
0.369528 0.553347 0.002974 0.001761
0.372502 0.555108 0.002974 0.001761
0.375475 0.556869 0.002974 0.001761
0.378449 0.558630 0.002974 0.001761
0.381423 0.560391 0.002974 0.001761
0.384396 0.562152 0.002974 0.001761
0.387370 0.563913 0.002974 0.001761
0.390344 0.565675 0.002974 0.001761
0.393318 0.567436 0.002974 0.001761
0.396291 0.569197 0.002974 0.001761
0.399265 0.570958 0.002974 0.001761
0.402239 0.572719 0.002974 0.001761
0.405213 0.574480 0.002974 0.001761
0.408186 0.576241 0.002974 0.001761
0.391316 0.574439 -0.017419 -0.001901
0.373897 0.572537 -0.017419 -0.001901
0.356479 0.570636 -0.017419 -0.001901
0.339060 0.568734 -0.017419 -0.001901
0.321641 0.566833 -0.017419 -0.001901
0.304223 0.564931 -0.017419 -0.001901
0.286804 0.563030 -0.017419 -0.001901
0.269385 0.561128 -0.017419 -0.001901
0.251967 0.559227 -0.017419 -0.001901
0.234548 0.557326 -0.017419 -0.001901
0.217129 0.555424 -0.017419 -0.001901
0.199711 0.553523 -0.017419 -0.001901
0.182292 0.551621 -0.017419 -0.001901
0.164873 0.549720 -0.017419 -0.001901
0.147454 0.547818 -0.017419 -0.001901
0.130036 0.545917 -0.017419 -0.001901
0.112617 0.544016 -0.017419 -0.001901
0.095198 0.542114 -0.017419 -0.001901
0.077780 0.540213 -0.017419 -0.001901
0.060361 0.538311 -0.017419 -0.001901
0.042942 0.536410 -0.017419 -0.001901
0.025524 0.534508 -0.017419 -0.001901
0.031895 0.532607 0.017419 -0.001901
0.049314 0.530705 0.017419 -0.001901
